ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Tropical Dry Forest & Woodland,Honduras,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Guatemala,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,El Salvador,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Panama,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,United States,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Colombia,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Costa Rica,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Venezuela,VU,LC,VU,LC,LC,LC,LC,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Colombia,EN,LC,CR,LC,LC,LC,VU,NE,VU,EN,LC
Tropical Dry Forest & Woodland,Trinidad and Tobago,LC,LC,NT,LC,LC,LC,LC,NE,LC,DD,CR
Tropical Dry Forest & Woodland,Venezuela,EN,NT,EN,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Colombia,EN,EN,CR,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Peru,EN,NT,EN,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Ecuador,DD,CR,EN,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Colombia,EN,EN,CR,EN,CR,LC,DD,NE,VU,EN,EN
Tropical Dry Forest & Woodland,Guyana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Suriname,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,French Guiana,LC,LC,LC,LC,EN,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Brazil,DD,LC,EN,LC,LC,LC,NT,NE,LC,VU,VU
Tropical Dry Forest & Woodland,Brazil,VU,EN,VU,LC,LC,LC,LC,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Paraguay,EN,CR,EN,LC,LC,LC,LC,NE,VU,VU,LC
Tropical Dry Forest & Woodland,Bolivia,VU,NT,VU,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Paraguay,VU,CR,EN,LC,LC,LC,DD,NE,VU,NT,VU
Tropical Dry Forest & Woodland,Argentina,LC,NT,LC,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Brazil,DD,LC,DD,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Bolivia,CR,LC,CR,LC,NT,LC,DD,NE,DD,LC,DD
Tropical Dry Forest & Woodland,Brazil,NT,CR,NT,LC,LC,LC,LC,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Ecuador,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Peru,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Colombia,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Venezuela,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Peru,LC,EN,LC,LC,LC,LC,DD,NE,NT,NT,LC
Tropical Dry Forest & Woodland,Argentina,DD,DD,DD,DD,DD,DD,DD,DD,DD,LC,DD
Tropical Dry Forest & Woodland,Bolivia,LC,VU,LC,LC,LC,LC,DD,NE,LC,LC,LC
