ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Tropical Dry Forest & Woodland,United States,NA,NA,NA,NA,0.231,1,NA,NA,0.386,1
Tropical Dry Forest & Woodland,Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,NA,NA,NA,NA,0.103,1,NA,NA,0.121,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.101,1,NA,NA,0.302,1
Temperate Flooded & Swamp Forest,United States,NA,NA,0.344,1,NA,NA,NA,NA,0.25,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,NA,NA,NA,NA,0.045,1,NA,NA,0.324,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,NA,NA,NA,NA,0.043,1,NA,NA,0.538,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.391,1,0.233,1,NA,NA,0.441,1
Tropical Lowland Humid Forest,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Lowland Humid Forest,Saint Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Martinique,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Lowland Humid Forest,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Saint Lucia,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Lowland Humid Forest,Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Haiti,NA,NA,NA,NA,0,1,NA,NA,0.291,1
Tropical Lowland Humid Forest,Saint Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Jamaica,NA,NA,NA,NA,0.062,1,NA,NA,0.224,1
Tropical Lowland Humid Forest,Bahamas,NA,NA,NA,NA,0.187,1,NA,NA,0.263,1
Tropical Lowland Humid Forest,Trinidad and Tobago,NA,NA,NA,NA,0.087,1,NA,NA,0.71,1
Tropical Lowland Humid Forest,Turks and Caicas Islands,NA,NA,NA,NA,0.263,1,NA,NA,0.263,1
Tropical Lowland Humid Forest,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
